,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
894,0,2023-03-01T18:49:49.747507,1579264,140,497,1835,-268,-882,-20,58,268,-106
895,0,2023-03-01T18:49:49.752328,1579269,140,497,1835,-268,-882,-20,58,268,-106
896,0,2023-03-01T18:49:49.757777,1579274,349,767,1428,-419,-884,-64,58,268,-106
897,0,2023-03-01T18:49:49.764482,1579280,349,767,1428,-419,-884,-64,58,268,-106
898,0,2023-03-01T18:49:49.769671,1579285,349,767,1428,-419,-884,-64,58,268,-106
899,0,2023-03-01T18:49:49.775692,1579291,349,767,1428,-419,-884,-64,58,268,-106
900,0,2023-03-01T18:49:49.780969,1579296,262,750,1615,-872,-477,95,58,268,-106
901,0,2023-03-01T18:49:49.787526,1579303,262,750,1615,-872,-477,95,58,268,-106
902,0,2023-03-01T18:49:49.793111,1579309,262,750,1615,-872,-477,95,58,268,-106
903,0,2023-03-01T18:49:49.798990,1579315,166,634,1733,-1318,-331,-321,58,268,-106
904,0,2023-03-01T18:49:49.804663,1579321,166,634,1733,-1318,-331,-321,58,268,-106
905,0,2023-03-01T18:49:49.809835,1579326,166,634,1733,-1318,-331,-321,58,268,-106
906,0,2023-03-01T18:49:49.815766,1579331,166,634,1733,-1318,-331,-321,58,268,-106
907,0,2023-03-01T18:49:49.821144,1579336,167,454,1560,-1642,-442,-532,59,269,-119
908,0,2023-03-01T18:49:49.827181,1579343,167,454,1560,-1642,-442,-532,59,269,-119
909,0,2023-03-01T18:49:49.832020,1579347,167,454,1560,-1642,-442,-532,59,269,-119
910,0,2023-03-01T18:49:49.837298,1579354,167,454,1560,-1642,-442,-532,59,269,-119
911,0,2023-03-01T18:49:49.842463,1579359,112,300,1684,-1445,-508,-481,59,269,-119
912,0,2023-03-01T18:49:49.847963,1579364,112,300,1684,-1445,-508,-481,59,269,-119
913,0,2023-03-01T18:49:49.852997,1579369,112,300,1684,-1445,-508,-481,59,269,-119
914,0,2023-03-01T18:49:49.858606,1579374,132,343,1738,-1038,-601,-528,59,269,-119
915,0,2023-03-01T18:49:49.864129,1579380,132,343,1738,-1038,-601,-528,59,269,-119
916,0,2023-03-01T18:49:49.869340,1579385,132,343,1738,-1038,-601,-528,59,269,-119
917,0,2023-03-01T18:49:49.874163,1579389,132,343,1738,-1038,-601,-528,59,269,-119
918,0,2023-03-01T18:49:49.878996,1579395,183,440,1580,-648,-754,-221,59,269,-119
919,0,2023-03-01T18:49:49.885300,1579401,183,440,1580,-648,-754,-221,59,269,-119
920,0,2023-03-01T18:49:49.890231,1579406,183,440,1580,-648,-754,-221,59,269,-119
921,0,2023-03-01T18:49:49.895790,1579412,183,440,1580,-648,-754,-221,59,269,-119
922,0,2023-03-01T18:49:49.901583,1579416,257,661,1638,-573,-687,-251,59,269,-119
923,0,2023-03-01T18:49:49.908732,1579424,257,661,1638,-573,-687,-251,59,269,-119
924,0,2023-03-01T18:49:49.914569,1579430,257,661,1638,-573,-687,-251,59,269,-119
925,0,2023-03-01T18:49:49.920671,1579437,229,678,1647,-823,-574,-200,59,269,-119
926,0,2023-03-01T18:49:49.926953,1579442,229,678,1647,-823,-574,-200,59,269,-119
927,0,2023-03-01T18:49:49.932946,1579448,229,678,1647,-823,-574,-200,59,269,-119
928,0,2023-03-01T18:49:49.939130,1579455,223,634,1584,-1156,-512,-316,60,268,-112
929,0,2023-03-01T18:49:49.945065,1579461,223,634,1584,-1156,-512,-316,60,268,-112
930,0,2023-03-01T18:49:49.950631,1579466,223,634,1584,-1156,-512,-316,60,268,-112
931,0,2023-03-01T18:49:49.956104,1579472,223,634,1584,-1156,-512,-316,60,268,-112
932,0,2023-03-01T18:49:49.961463,1579478,172,515,1652,-1388,-423,-421,60,268,-112
933,0,2023-03-01T18:49:49.967326,1579484,172,515,1652,-1388,-423,-421,60,268,-112
934,0,2023-03-01T18:49:49.972320,1579488,172,515,1652,-1388,-423,-421,60,268,-112
935,0,2023-03-01T18:49:49.977847,1579494,124,372,1675,-1344,-500,-360,60,268,-112
936,0,2023-03-01T18:49:49.983354,1579499,124,372,1675,-1344,-500,-360,60,268,-112
937,0,2023-03-01T18:49:49.988259,1579504,124,372,1675,-1344,-500,-360,60,268,-112
938,0,2023-03-01T18:49:49.993342,1579509,124,372,1675,-1344,-500,-360,60,268,-112
939,0,2023-03-01T18:49:49.998965,1579514,161,386,1641,-1109,-602,-373,60,268,-112
940,0,2023-03-01T18:49:50.004306,1579521,161,386,1641,-1109,-602,-373,60,268,-112
941,0,2023-03-01T18:49:50.009245,1579526,161,386,1641,-1109,-602,-373,60,268,-112
942,0,2023-03-01T18:49:50.014742,1579531,161,386,1641,-1109,-602,-373,60,268,-112
943,0,2023-03-01T18:49:50.019866,1579536,174,461,1653,-793,-653,-262,60,268,-112
944,0,2023-03-01T18:49:50.025407,1579541,174,461,1653,-793,-653,-262,60,268,-112
945,0,2023-03-01T18:49:50.030220,1579546,174,461,1653,-793,-653,-262,60,268,-112
946,0,2023-03-01T18:49:50.035585,1579551,174,461,1653,-793,-653,-262,60,268,-112
