,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
0,790,2023-03-10T14:06:38.411372,1389,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0001897417,0.01927898,-0.001502133)","(0.3821116,1.085667,0.1155211)","(-0.09306215,0.9359688,-0.02262841,0.3388064)","(0.0004126595,0.0004017048,-0.0002913066)",True
1,791,2023-03-10T14:06:38.433371,1391,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0007542115,0.00192393,-0.0007634108)","(0.3820392,1.085673,0.1155987)","(-0.09313657,0.9360659,-0.02265492,0.3385158)","(-0.0002658451,0.0005286666,-0.0002164777)",True
2,792,2023-03-10T14:06:38.456388,1393,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.003551799,0.01953067,-0.004327136)","(0.3822768,1.085654,0.1154788)","(-0.09312999,0.9358679,-0.02249165,0.3390757)","(0.001404766,0.0002175303,-0.0004419146)",True
3,793,2023-03-10T14:06:38.467308,1394,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003399645,0.01006785,-0.001367807)","(0.3821894,1.085668,0.1154987)","(-0.09317596,0.9359304,-0.02270091,0.3388765)","(0.00070009,0.0003407293,-0.0009000094)",True
4,794,2023-03-10T14:06:38.490744,1396,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.003813641,0.01762023,-0.001782282)","(0.3822892,1.085688,0.1155074)","(-0.09309626,0.9358307,-0.02246096,0.3391896)","(0.001465126,0.0007649405,-0.0002804884)",True
5,795,2023-03-10T14:06:38.512725,1398,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003013878,0.007973079,-0.0003059073)","(0.3821679,1.085601,0.1155783)","(-0.09312545,0.9358531,-0.0225976,0.3391108)","(0.0001696694,-0.0006358235,9.309578E-05)",True
6,796,2023-03-10T14:06:38.535725,1400,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.003028923,0.0123854,-0.001175829)","(0.38207,1.085722,0.1156054)","(-0.09311271,0.9357832,-0.02247012,0.3393153)","(-0.0003798007,0.0006659022,-0.0001786251)",True
7,797,2023-03-10T14:06:38.558480,1402,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.004340372,0.009228388,-0.0005713904)","(0.3820833,1.085667,0.1155798)","(-0.09318782,0.9357527,-0.02261944,0.3393688)","(-0.0004560071,-0.0001384831,-0.0002146259)",True
8,798,2023-03-10T14:06:38.569434,1403,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.003770137,0.01638084,-0.003155611)","(0.3820682,1.085655,0.115593)","(-0.09316799,0.9356812,-0.0224594,0.3395824)","(-7.554147E-05,-1.609528E-05,-0.0002803637)",True
9,799,2023-03-10T14:06:38.592450,1405,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0003213712,0.01088942,0.001092295)","(0.3820021,1.085671,0.1155891)","(-0.09312373,0.9356688,-0.02251068,0.3396249)","(-0.00111548,-2.420846E-05,-0.0003739359)",True
10,800,2023-03-10T14:06:38.614453,1407,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002758598,0.01152723,0.0004340508)","(0.382032,1.085707,0.1156304)","(-0.09309895,0.9356447,-0.02251939,0.3396977)","(-0.0007121613,0.0004078052,8.598551E-05)",True
11,801,2023-03-10T14:06:38.636463,1409,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.004827039,0.01151004,-0.0001316496)","(0.382026,1.085602,0.1156353)","(-0.09313896,0.9356105,-0.02267037,0.3397709)","(-0.0008184896,-0.001151407,8.248602E-05)",True
12,802,2023-03-10T14:06:38.648463,1410,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001677184,0.00948509,-0.004203116)","(0.3821094,1.085599,0.1156484)","(-0.09319474,0.9355773,-0.02259439,0.3398518)","(0.0001783148,-0.0007789867,0.0004297355)",True
13,803,2023-03-10T14:06:38.670235,1412,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0004331568,0.01232265,0.003148609)","(0.382105,1.085661,0.1156275)","(-0.09299136,0.935539,-0.02262105,0.3400114)","(0.0002593971,2.564059E-06,2.578997E-05)",True
14,804,2023-03-10T14:06:38.692238,1414,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001538622,0.01319751,-9.793717E-05)","(0.382173,1.08565,0.1155988)","(-0.0931073,0.935469,-0.02262134,0.3401723)","(0.0006040605,0.0001003333,-2.993247E-05)",True
15,805,2023-03-10T14:06:38.715236,1416,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001124661,0.01233451,0.002329164)","(0.38217,1.085671,0.1155768)","(-0.09306668,0.935437,-0.02268058,0.3402673)","(0.00040953,0.0002967475,-0.0003382642)",True
16,806,2023-03-10T14:06:38.737236,1418,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0006828402,0.01697933,-0.001941561)","(0.3821778,1.085718,0.1156472)","(-0.09315293,0.9353516,-0.02260204,0.3404835)","(0.0004044388,0.0008012244,0.0004235146)",True
17,807,2023-03-10T14:06:38.748237,1419,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002433921,0.0109204,-0.002156422)","(0.3821398,1.085713,0.1156239)","(-0.09319269,0.9353563,-0.02266106,0.3404561)","(-0.0003109072,0.0004840309,6.662864E-06)",True
18,808,2023-03-10T14:06:38.771237,1421,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.003700155,0.01780425,-0.0002984401)","(0.3821819,1.085657,0.1156456)","(-0.09308363,0.935288,-0.0225881,0.3406782)","(0.0006261209,0.0001570033,0.0001949266)",True
19,809,2023-03-10T14:06:38.793252,1423,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.00312119,0.0109266,-0.002965799)","(0.3821406,1.085676,0.1156394)","(-0.09322941,0.9352612,-0.02266797,0.3407066)","(-0.0001609804,0.0001939138,3.37805E-05)",True
20,810,2023-03-10T14:06:38.815255,1425,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.003028897,0.01238509,-0.00117143)","(0.3821689,1.085713,0.1157002)","(-0.09308834,0.9352241,-0.02258203,0.3408525)","(0.0003789791,0.0008568968,0.0004728429)",True
21,811,2023-03-10T14:06:38.837411,1427,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.005093179,0.01342372,-0.002654939)","(0.382196,1.085693,0.1156906)","(-0.09319372,0.9351734,-0.02274854,0.3409518)","(0.0004961618,0.0002462752,8.240877E-05)",True
22,812,2023-03-10T14:06:38.849415,1428,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001588615,0.01382787,6.154778E-05)","(0.382167,1.085733,0.1156794)","(-0.09308479,0.93515,-0.02265264,0.3410524)","(0.0003770975,0.0009222513,-5.192959E-05)",True
23,813,2023-03-10T14:06:38.871678,1430,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003872731,0.009591977,0.003258291)","(0.3821313,1.085646,0.1156794)","(-0.09302191,0.9351636,-0.0228116,0.3410218)","(0.0001061413,-8.45414E-05,-4.429105E-05)",True
24,814,2023-03-10T14:06:38.893676,1432,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001273897,0.009060912,-0.00392124)","(0.3820064,1.085672,0.1157825)","(-0.09316675,0.9351081,-0.02270643,0.341141)","(-0.000654074,-0.0001584388,0.0002585507)",True
25,815,2023-03-10T14:06:38.915676,1434,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001054929,0.01487909,-0.0008683602)","(0.3820248,1.085654,0.1157447)","(-0.09304498,0.935018,-0.02268477,0.3414226)","(-0.0007484893,-6.185642E-05,0.0003990798)",True
