,Matrix
0,"[[-0.02790331  0.02877168  0.99919659]
 [ 0.06087558 -0.99768146  0.03042806]
 [ 0.99775538  0.06167571  0.02608735]]"
1,"[[-0.0340198   0.0222316   0.99917388]
 [ 0.07213288 -0.9970906   0.02464122]
 [ 0.9968147   0.07291158  0.03231724]]"
2,"[[-0.03312372  0.0222846   0.99920291]
 [ 0.06780258 -0.99739809  0.02449203]
 [ 0.99714887  0.0685598   0.03152684]]"
3,"[[-0.0393568   0.02742191  0.998849  ]
 [ 0.06560366 -0.99739568  0.02996694]
 [ 0.99706942  0.06670755  0.03745557]]"
4,"[[-0.0376821   0.02764973  0.99890713]
 [ 0.06737051 -0.9972725   0.03014592]
 [ 0.99701613  0.06843285  0.03571643]]"
5,"[[-0.03579677  0.03143686  0.99886453]
 [ 0.060542   -0.99760109  0.03356677]
 [ 0.99752358  0.06167484  0.03380768]]"
6,"[[-0.03348389  0.03204358  0.99892553]
 [ 0.06114648 -0.99754788  0.03404902]
 [ 0.99756709  0.06222087  0.0314426 ]]"
7,"[[-0.0338674   0.02914499  0.99900141]
 [ 0.06393513 -0.9974641   0.03126763]
 [ 0.99737934  0.06493023  0.03191838]]"
8,"[[-0.0352343   0.02737696  0.99900415]
 [ 0.06386308 -0.99751993  0.02958871]
 [ 0.9973366   0.06484201  0.03339878]]"
9,"[[-0.03931682  0.02351662  0.99895018]
 [ 0.06879639 -0.99728702  0.02618518]
 [ 0.99685583  0.06975368  0.03759262]]"
10,"[[-0.04348582  0.02377592  0.99877111]
 [ 0.06815259 -0.99731734  0.02670864]
 [ 0.99672677  0.06923028  0.04174883]]"
11,"[[-0.04397457  0.02537431  0.99871051]
 [ 0.06554545 -0.99745023  0.02822836]
 [ 0.9968803   0.06670226  0.04219959]]"
12,"[[-0.04374582  0.02830368  0.99864183]
 [ 0.06307736 -0.99752597  0.03103519]
 [ 0.99704957  0.06434935  0.04185259]]"
13,"[[-0.04447968  0.02891538  0.99859171]
 [ 0.06227785 -0.99755659  0.03165941]
 [ 0.99706719  0.06359835  0.04257016]]"
14,"[[-0.04515584  0.02758419  0.99859914]
 [ 0.06307793 -0.99754527  0.03040742]
 [ 0.99698661  0.06436264  0.04330523]]"
15,"[[-0.04639988  0.02553624  0.99859656]
 [ 0.06532    -0.99745609  0.02854218]
 [ 0.99678508  0.06655268  0.04461397]]"
16,"[[-0.04678538  0.02294905  0.99864132]
 [ 0.06736885 -0.99738732  0.0260764 ]
 [ 0.99663062  0.06849731  0.04511713]]"
17,"[[-0.04768459  0.02211193  0.99861772]
 [ 0.06709617 -0.99742596  0.02528943]
 [ 0.99660644  0.06820934  0.04607834]]"
18,"[[-0.04788292  0.02262946  0.99859668]
 [ 0.06618732 -0.99747418  0.02577773]
 [ 0.99665774  0.06732874  0.0462644 ]]"
19,"[[-0.04871041  0.02451668  0.99851204]
 [ 0.06387889 -0.99757565  0.0276099 ]
 [ 0.9967682   0.06512873  0.04702629]]"
20,"[[-0.04949221  0.02580059  0.99844134]
 [ 0.06259783 -0.99762083  0.02888234]
 [ 0.99681106  0.0639297   0.04775966]]"
21,"[[-0.04908331  0.02550117  0.99846912]
 [ 0.06387206 -0.99754769  0.0286175 ]
 [ 0.99675035  0.06517892  0.0473342 ]]"
22,"[[-0.05011577  0.02383672  0.99845905]
 [ 0.06547427 -0.9974862   0.02709987]
 [ 0.99659509  0.0667315   0.04842936]]"
23,"[[-0.04990561  0.02283074  0.99849312]
 [ 0.06659496 -0.99743775  0.0261351 ]
 [ 0.99653141  0.06779889  0.04825766]]"
24,"[[-0.05077367  0.02196816  0.99846864]
 [ 0.06650865 -0.99746433  0.02532814]
 [ 0.99649327  0.0676928   0.04918406]]"
25,"[[-0.05118309  0.0219822   0.99844724]
 [ 0.06522559 -0.99754961  0.02530607]
 [ 0.99655694  0.06641956  0.04962369]]"
