,Matrix
0,"[[-0.62675188 -0.7704602   0.11650391]
 [ 0.60163583 -0.57349239 -0.55600431]
 [ 0.49519331 -0.27838382  0.8229739 ]]"
1,"[[-0.62738785 -0.76964449  0.11845614]
 [ 0.60009797 -0.57480175 -0.55631411]
 [ 0.49625288 -0.27793943  0.82248577]]"
2,"[[-0.62838792 -0.76833485  0.12161445]
 [ 0.59739199 -0.57677404 -0.55718436]
 [ 0.49824827 -0.27747638  0.82143475]]"
3,"[[-0.62893509 -0.76742307  0.12450905]
 [ 0.59511198 -0.57826354 -0.55807978]
 [ 0.50028233 -0.27689914  0.82039294]]"
4,"[[-0.63038759 -0.76562631  0.12817125]
 [ 0.59217823 -0.5810427  -0.55831386]
 [ 0.50193273 -0.27605392  0.81966941]]"
5,"[[-0.63076986 -0.76504961  0.12972515]
 [ 0.59092395 -0.5819428  -0.55870531]
 [ 0.50292983 -0.27575683  0.8191584 ]]"
6,"[[-0.63185989 -0.76344695  0.133798  ]
 [ 0.58764919 -0.58442885 -0.5595636 ]
 [ 0.5053925  -0.27493954  0.81791625]]"
7,"[[-0.63301207 -0.76186243  0.13733657]
 [ 0.58459172 -0.58673402 -0.56035319]
 [ 0.50749209 -0.27442451  0.81678814]]"
8,"[[-0.6340971  -0.76016751  0.14165531]
 [ 0.58136909 -0.58946303 -0.56084162]
 [ 0.50983414 -0.27327402  0.81571468]]"
9,"[[-0.634743   -0.75900614  0.14495149]
 [ 0.57834128 -0.59104312 -0.56230713]
 [ 0.51246718 -0.27308905  0.81412491]]"
10,"[[-0.63512078 -0.75836066  0.14666523]
 [ 0.57713977 -0.59211864 -0.56241016]
 [ 0.51335296 -0.27255204  0.81374693]]"
11,"[[-0.63602328 -0.7569151   0.15017973]
 [ 0.57436319 -0.59431925 -0.56293124]
 [ 0.51534585 -0.27177967  0.81274508]]"
12,"[[-0.63688392 -0.75549908  0.15362315]
 [ 0.57130665 -0.5962859  -0.56396091]
 [ 0.51767523 -0.27141174  0.81138667]]"
13,"[[-0.63756193 -0.75408161  0.15772022]
 [ 0.56819419 -0.5985164  -0.56474192]
 [ 0.52025965 -0.27044222  0.81005599]]"
14,"[[-0.63833556 -0.75254719  0.16186591]
 [ 0.56492681 -0.60083566 -0.56555668]
 [ 0.52286283 -0.2695726   0.80866911]]"
15,"[[-0.63859361 -0.75190511  0.16381973]
 [ 0.56329151 -0.60176369 -0.56620061]
 [ 0.5243099  -0.26929382  0.8078242 ]]"
16,"[[-0.63942334 -0.75016356  0.16850058]
 [ 0.55962393 -0.6043811  -0.567049  ]
 [ 0.52721806 -0.26828742  0.80626492]]"
17,"[[-0.63996937 -0.74894792  0.17180272]
 [ 0.55702001 -0.60619027 -0.56768126]
 [ 0.52930885 -0.26760104  0.80512209]]"
18,"[[-0.64086938 -0.74749743  0.17474   ]
 [ 0.55438637 -0.60812807 -0.56818663]
 [ 0.53098233 -0.26725996  0.80413312]]"
19,"[[-0.64156267 -0.746147    0.17793803]
 [ 0.55164849 -0.60998555 -0.56885984]
 [ 0.53299272 -0.26679998  0.80295473]]"
20,"[[-0.64223539 -0.74504259  0.18012548]
 [ 0.54990466 -0.61155551 -0.56886262]
 [ 0.53398363 -0.26629185  0.8024649 ]]"
21,"[[-0.64313311 -0.74345576  0.18344869]
 [ 0.54700955 -0.61368576 -0.56935967]
 [ 0.53587353 -0.26582591  0.80135921]]"
22,"[[-0.64405005 -0.74170329  0.18728511]
 [ 0.5437733  -0.61607738 -0.56987648]
 [ 0.5380614  -0.26518831  0.80010302]]"
23,"[[-0.64454007 -0.74042497  0.19062775]
 [ 0.54131547 -0.61800039 -0.57013424]
 [ 0.53994966 -0.2642846   0.79912946]]"
24,"[[-0.64526108 -0.73936236  0.19230545]
 [ 0.53956469 -0.61925873 -0.57042835]
 [ 0.54084011 -0.26431396  0.79851727]]"
25,"[[-0.64626678 -0.73772262  0.19520376]
 [ 0.53696009 -0.62137223 -0.5705877 ]
 [ 0.54222969 -0.26393521  0.79769967]]"
26,"[[-0.64682986 -0.73628691  0.19872775]
 [ 0.53421602 -0.62340999 -0.57094065]
 [ 0.54426499 -0.26313791  0.79657647]]"
27,"[[-0.64742111 -0.73488557  0.20196314]
 [ 0.53153852 -0.6253016  -0.57137091]
 [ 0.54618011 -0.26256639  0.79545343]]"
28,"[[-0.64850813 -0.73312865  0.20484035]
 [ 0.52887253 -0.62749248 -0.57144291]
 [ 0.54747696 -0.26225093  0.79466552]]"
29,"[[-0.64907009 -0.73168097  0.20820884]
 [ 0.5263901  -0.62957065 -0.57144922]
 [ 0.54920072 -0.26131151  0.79378501]]"
30,"[[-0.64917871 -0.73112938  0.20980168]
 [ 0.52503543 -0.63029454 -0.57189726]
 [ 0.55036779 -0.26111016  0.79304241]]"
31,"[[-0.65004966 -0.72935711  0.21324545]
 [ 0.52216331 -0.63261369 -0.57196623]
 [ 0.55206964 -0.26045748  0.79207376]]"
