imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2023-03-01T18:51:32.901927,1682423,1383,1840,-495,-1188,-799,-301,-61,169,-275
0,2023-03-01T18:51:32.907947,1682429,1377,1840,-495,-1186,-788,-303,-61,169,-275
0,2023-03-01T18:51:32.913956,1682436,1377,1840,-495,-1186,-788,-303,-61,169,-275
0,2023-03-01T18:51:32.918624,1682440,1377,1840,-495,-1186,-788,-303,-61,169,-275
0,2023-03-01T18:51:32.923414,1682445,1377,1840,-495,-1186,-788,-303,-61,169,-275
0,2023-03-01T18:51:32.928756,1682450,1383,1840,-496,-1182,-786,-303,-61,169,-275
0,2023-03-01T18:51:32.934336,1682456,1383,1840,-496,-1182,-786,-303,-61,169,-275
0,2023-03-01T18:51:32.940059,1682462,1383,1840,-496,-1182,-786,-303,-61,169,-275
0,2023-03-01T18:51:32.945482,1682467,1381,1840,-495,-1182,-788,-305,-61,169,-275
0,2023-03-01T18:51:32.951074,1682472,1381,1840,-495,-1182,-788,-305,-61,169,-275
0,2023-03-01T18:51:32.955915,1682478,1381,1840,-495,-1182,-788,-305,-61,169,-275
0,2023-03-01T18:51:32.961087,1682483,1381,1840,-495,-1182,-788,-305,-61,169,-275
0,2023-03-01T18:51:32.965963,1682488,1385,1838,-496,-1199,-797,-300,-61,169,-275
0,2023-03-01T18:51:32.971490,1682493,1385,1838,-496,-1199,-797,-300,-61,169,-275
0,2023-03-01T18:51:32.977353,1682499,1385,1838,-496,-1199,-797,-300,-61,169,-275
0,2023-03-01T18:51:32.982544,1682504,1385,1838,-496,-1199,-797,-300,-61,169,-275
0,2023-03-01T18:51:32.987927,1682509,1382,1836,-485,-1186,-801,-299,-68,166,-278
0,2023-03-01T18:51:32.993045,1682514,1382,1836,-485,-1186,-801,-299,-68,166,-278
0,2023-03-01T18:51:32.998976,1682521,1382,1836,-485,-1186,-801,-299,-68,166,-278
0,2023-03-01T18:51:33.003880,1682526,1380,1835,-488,-1192,-802,-295,-68,166,-278
0,2023-03-01T18:51:33.009839,1682531,1380,1835,-488,-1192,-802,-295,-68,166,-278
0,2023-03-01T18:51:33.014703,1682536,1380,1835,-488,-1192,-802,-295,-68,166,-278
0,2023-03-01T18:51:33.020561,1682542,1380,1835,-488,-1192,-802,-295,-68,166,-278
0,2023-03-01T18:51:33.025974,1682547,1381,1841,-496,-1198,-804,-306,-68,166,-278
0,2023-03-01T18:51:33.031007,1682552,1381,1841,-496,-1198,-804,-306,-68,166,-278
0,2023-03-01T18:51:33.036290,1682557,1381,1841,-496,-1198,-804,-306,-68,166,-278
0,2023-03-01T18:51:33.040811,1682563,1381,1841,-496,-1198,-804,-306,-68,166,-278
0,2023-03-01T18:51:33.045662,1682568,1384,1844,-490,-1201,-804,-305,-68,166,-278
0,2023-03-01T18:51:33.051763,1682573,1384,1844,-490,-1201,-804,-305,-68,166,-278
0,2023-03-01T18:51:33.056879,1682578,1384,1844,-490,-1201,-804,-305,-68,166,-278
0,2023-03-01T18:51:33.061587,1682583,1384,1844,-490,-1201,-804,-305,-68,166,-278
0,2023-03-01T18:51:33.067210,1682588,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.072747,1682594,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.077650,1682599,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.082352,1682604,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.087172,1682609,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.092490,1682614,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.098003,1682620,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.102506,1682624,1383,1843,-496,-1189,-810,-301,-68,166,-278
0,2023-03-01T18:51:33.107847,1682629,1382,1840,-493,-1193,-802,-289,-68,164,-276
0,2023-03-01T18:51:33.113149,1682635,1382,1840,-493,-1193,-802,-289,-68,164,-276
0,2023-03-01T18:51:33.117928,1682639,1382,1840,-493,-1193,-802,-289,-68,164,-276
0,2023-03-01T18:51:33.122951,1682644,1382,1840,-493,-1193,-802,-289,-68,164,-276
0,2023-03-01T18:51:33.128591,1682650,1383,1840,-491,-1188,-800,-297,-68,164,-276
0,2023-03-01T18:51:33.133993,1682656,1383,1840,-491,-1188,-800,-297,-68,164,-276
0,2023-03-01T18:51:33.138512,1682660,1383,1840,-491,-1188,-800,-297,-68,164,-276
0,2023-03-01T18:51:33.143004,1682665,1383,1840,-491,-1188,-800,-297,-68,164,-276
0,2023-03-01T18:51:33.148022,1682670,1384,1842,-500,-1189,-798,-298,-68,164,-276
0,2023-03-01T18:51:33.153368,1682675,1384,1842,-500,-1189,-798,-298,-68,164,-276
0,2023-03-01T18:51:33.158230,1682679,1384,1842,-500,-1189,-798,-298,-68,164,-276
0,2023-03-01T18:51:33.163196,1682684,1384,1842,-500,-1189,-798,-298,-68,164,-276
0,2023-03-01T18:51:33.168804,1682691,1381,1838,-493,-1196,-795,-303,-68,164,-276
0,2023-03-01T18:51:33.173981,1682696,1381,1838,-493,-1196,-795,-303,-68,164,-276
0,2023-03-01T18:51:33.179185,1682701,1381,1838,-493,-1196,-795,-303,-68,164,-276
0,2023-03-01T18:51:33.184857,1682706,1381,1840,-491,-1191,-799,-300,-68,164,-276
0,2023-03-01T18:51:33.190409,1682712,1381,1840,-491,-1191,-799,-300,-68,164,-276
0,2023-03-01T18:51:33.195132,1682716,1381,1840,-491,-1191,-799,-300,-68,164,-276
0,2023-03-01T18:51:33.200768,1682722,1381,1840,-491,-1191,-799,-300,-68,164,-276
0,2023-03-01T18:51:33.207103,1682727,1383,1842,-489,-1182,-784,-306,-68,164,-276
0,2023-03-01T18:51:33.212783,1682734,1383,1842,-489,-1182,-784,-306,-68,164,-276
0,2023-03-01T18:51:33.218612,1682740,1383,1842,-489,-1182,-784,-306,-68,164,-276
0,2023-03-01T18:51:33.223397,1682745,1383,1842,-489,-1182,-784,-306,-68,164,-276
0,2023-03-01T18:51:33.228640,1682750,1380,1840,-499,-1190,-786,-301,-68,164,-276
0,2023-03-01T18:51:33.233825,1682756,1380,1840,-499,-1190,-786,-301,-68,164,-276
0,2023-03-01T18:51:33.238646,1682760,1380,1840,-499,-1190,-786,-301,-68,164,-276
0,2023-03-01T18:51:33.243441,1682765,1380,1840,-499,-1190,-786,-301,-68,164,-276
0,2023-03-01T18:51:33.248941,1682770,1384,1840,-494,-1182,-787,-308,-64,172,-274
0,2023-03-01T18:51:33.254504,1682776,1384,1840,-494,-1182,-787,-308,-64,172,-274
0,2023-03-01T18:51:33.258984,1682781,1384,1840,-494,-1182,-787,-308,-64,172,-274
0,2023-03-01T18:51:33.264301,1682786,1382,1835,-493,-1178,-790,-303,-64,172,-274
0,2023-03-01T18:51:33.270440,1682791,1382,1835,-493,-1178,-790,-303,-64,172,-274
0,2023-03-01T18:51:33.276986,1682798,1382,1835,-493,-1178,-790,-303,-64,172,-274
0,2023-03-01T18:51:33.282241,1682803,1382,1835,-493,-1178,-790,-303,-64,172,-274
0,2023-03-01T18:51:33.287555,1682809,1383,1839,-495,-1185,-789,-303,-64,172,-274
0,2023-03-01T18:51:33.293352,1682814,1383,1839,-495,-1185,-789,-303,-64,172,-274
0,2023-03-01T18:51:33.298979,1682821,1383,1839,-495,-1185,-789,-303,-64,172,-274
0,2023-03-01T18:51:33.303931,1682826,1383,1839,-495,-1185,-789,-303,-64,172,-274
0,2023-03-01T18:51:33.309809,1682831,1385,1839,-499,-1184,-791,-297,-64,172,-274
0,2023-03-01T18:51:33.315104,1682837,1385,1839,-499,-1184,-791,-297,-64,172,-274
0,2023-03-01T18:51:33.319681,1682841,1385,1839,-499,-1184,-791,-297,-64,172,-274
0,2023-03-01T18:51:33.325245,1682846,1385,1836,-492,-1180,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.331292,1682852,1385,1836,-492,-1180,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.338054,1682860,1385,1836,-492,-1180,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.342574,1682865,1385,1836,-492,-1180,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.347918,1682870,1383,1844,-496,-1175,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.353394,1682875,1383,1844,-496,-1175,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.358681,1682880,1383,1844,-496,-1175,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.363492,1682885,1383,1844,-496,-1175,-788,-299,-64,172,-274
0,2023-03-01T18:51:33.368985,1682890,1382,1837,-491,-1182,-789,-299,-68,170,-280
0,2023-03-01T18:51:33.374320,1682896,1382,1837,-491,-1182,-789,-299,-68,170,-280
0,2023-03-01T18:51:33.378945,1682900,1382,1837,-491,-1182,-789,-299,-68,170,-280
0,2023-03-01T18:51:33.383975,1682906,1382,1837,-491,-1182,-789,-299,-68,170,-280
0,2023-03-01T18:51:33.390134,1682912,1380,1836,-492,-1189,-795,-299,-68,170,-280
0,2023-03-01T18:51:33.395540,1682917,1380,1836,-492,-1189,-795,-299,-68,170,-280
0,2023-03-01T18:51:33.399960,1682922,1380,1836,-492,-1189,-795,-299,-68,170,-280
0,2023-03-01T18:51:33.405085,1682927,1384,1839,-499,-1181,-784,-303,-68,170,-280
0,2023-03-01T18:51:33.410460,1682932,1384,1839,-499,-1181,-784,-303,-68,170,-280
0,2023-03-01T18:51:33.415053,1682936,1384,1839,-499,-1181,-784,-303,-68,170,-280
0,2023-03-01T18:51:33.419976,1682941,1384,1839,-499,-1181,-784,-303,-68,170,-280
0,2023-03-01T18:51:33.425437,1682947,1381,1836,-496,-1180,-778,-298,-68,170,-280
0,2023-03-01T18:51:33.430711,1682953,1381,1836,-496,-1180,-778,-298,-68,170,-280
0,2023-03-01T18:51:33.435722,1682957,1381,1836,-496,-1180,-778,-298,-68,170,-280
0,2023-03-01T18:51:33.440461,1682962,1381,1836,-496,-1180,-778,-298,-68,170,-280
0,2023-03-01T18:51:33.445770,1682967,1381,1839,-492,-1178,-782,-300,-68,170,-280
0,2023-03-01T18:51:33.451067,1682973,1381,1839,-492,-1178,-782,-300,-68,170,-280
0,2023-03-01T18:51:33.456864,1682978,1381,1839,-492,-1178,-782,-300,-68,170,-280
0,2023-03-01T18:51:33.462394,1682983,1381,1839,-492,-1178,-782,-300,-68,170,-280
0,2023-03-01T18:51:33.467862,1682990,1384,1839,-500,-1176,-779,-297,-68,170,-280
0,2023-03-01T18:51:33.473005,1682995,1384,1839,-500,-1176,-779,-297,-68,170,-280
0,2023-03-01T18:51:33.478393,1683000,1384,1839,-500,-1176,-779,-297,-68,170,-280
0,2023-03-01T18:51:33.483028,1683005,1384,1839,-500,-1176,-779,-297,-68,170,-280
0,2023-03-01T18:51:33.489930,1683010,1382,1841,-501,-1168,-777,-300,-68,170,-280
0,2023-03-01T18:51:33.496267,1683017,1382,1841,-501,-1168,-777,-300,-68,170,-280
0,2023-03-01T18:51:33.502379,1683023,1382,1841,-501,-1168,-777,-300,-68,170,-280
0,2023-03-01T18:51:33.507816,1683030,1382,1842,-492,-1181,-783,-296,-65,167,-269
0,2023-03-01T18:51:33.512803,1683035,1382,1842,-492,-1181,-783,-296,-65,167,-269
0,2023-03-01T18:51:33.517737,1683039,1382,1842,-492,-1181,-783,-296,-65,167,-269
0,2023-03-01T18:51:33.522579,1683044,1382,1842,-492,-1181,-783,-296,-65,167,-269
0,2023-03-01T18:51:33.528007,1683050,1382,1839,-495,-1174,-761,-296,-65,167,-269
0,2023-03-01T18:51:33.533322,1683055,1382,1839,-495,-1174,-761,-296,-65,167,-269
0,2023-03-01T18:51:33.537944,1683059,1382,1839,-495,-1174,-761,-296,-65,167,-269
