imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2023-03-09T13:52:04.910405,2024271,290,-12,1657,-1044,-572,-322,187,133,-105
0,2023-03-09T13:52:04.915041,2024275,288,-12,1661,-1043,-575,-322,187,133,-105
0,2023-03-09T13:52:04.919841,2024281,288,-12,1661,-1043,-575,-322,187,133,-105
0,2023-03-09T13:52:04.924797,2024286,288,-12,1661,-1043,-575,-322,187,133,-105
0,2023-03-09T13:52:04.929262,2024290,288,-12,1661,-1043,-575,-322,187,133,-105
0,2023-03-09T13:52:04.933796,2024295,288,-12,1661,-1043,-575,-322,187,133,-105
0,2023-03-09T13:52:04.938559,2024299,293,-13,1650,-1044,-578,-317,187,133,-105
0,2023-03-09T13:52:04.943780,2024305,293,-13,1650,-1044,-578,-317,187,133,-105
0,2023-03-09T13:52:04.948317,2024309,293,-13,1650,-1044,-578,-317,187,133,-105
0,2023-03-09T13:52:04.953023,2024313,293,-13,1650,-1044,-578,-317,187,133,-105
0,2023-03-09T13:52:04.958769,2024320,291,-14,1661,-1048,-581,-321,187,133,-105
0,2023-03-09T13:52:04.964324,2024325,291,-14,1661,-1048,-581,-321,187,133,-105
0,2023-03-09T13:52:04.968939,2024330,291,-14,1661,-1048,-581,-321,187,133,-105
0,2023-03-09T13:52:04.973374,2024334,291,-14,1661,-1048,-581,-321,187,133,-105
0,2023-03-09T13:52:04.977778,2024339,289,-10,1664,-1041,-578,-319,180,132,-112
0,2023-03-09T13:52:04.983669,2024344,289,-10,1664,-1041,-578,-319,180,132,-112
0,2023-03-09T13:52:04.988035,2024349,289,-10,1664,-1041,-578,-319,180,132,-112
0,2023-03-09T13:52:04.992701,2024353,289,-10,1664,-1041,-578,-319,180,132,-112
0,2023-03-09T13:52:04.997337,2024358,290,-10,1658,-1042,-573,-324,180,132,-112
0,2023-03-09T13:52:05.002257,2024364,290,-10,1658,-1042,-573,-324,180,132,-112
0,2023-03-09T13:52:05.006664,2024368,290,-10,1658,-1042,-573,-324,180,132,-112
0,2023-03-09T13:52:05.011156,2024372,290,-10,1658,-1042,-573,-324,180,132,-112
0,2023-03-09T13:52:05.015627,2024377,294,-9,1657,-1037,-577,-324,180,132,-112
0,2023-03-09T13:52:05.021237,2024382,294,-9,1657,-1037,-577,-324,180,132,-112
0,2023-03-09T13:52:05.025935,2024386,294,-9,1657,-1037,-577,-324,180,132,-112
0,2023-03-09T13:52:05.030277,2024391,294,-9,1657,-1037,-577,-324,180,132,-112
0,2023-03-09T13:52:05.034832,2024395,289,-8,1655,-1031,-572,-323,180,132,-112
0,2023-03-09T13:52:05.039818,2024400,289,-8,1655,-1031,-572,-323,180,132,-112
0,2023-03-09T13:52:05.045328,2024407,289,-8,1655,-1031,-572,-323,180,132,-112
0,2023-03-09T13:52:05.050054,2024411,289,-8,1655,-1031,-572,-323,180,132,-112
0,2023-03-09T13:52:05.054442,2024416,290,-10,1659,-1043,-579,-318,180,132,-112
0,2023-03-09T13:52:05.059378,2024420,290,-10,1659,-1043,-579,-318,180,132,-112
0,2023-03-09T13:52:05.064989,2024426,290,-10,1659,-1043,-579,-318,180,132,-112
0,2023-03-09T13:52:05.069404,2024430,290,-10,1659,-1043,-579,-318,180,132,-112
0,2023-03-09T13:52:05.073809,2024434,290,-10,1659,-1043,-579,-318,180,132,-112
0,2023-03-09T13:52:05.078378,2024439,289,-11,1660,-1040,-571,-316,180,132,-112
0,2023-03-09T13:52:05.082952,2024443,289,-11,1660,-1040,-571,-316,180,132,-112
0,2023-03-09T13:52:05.087379,2024449,289,-11,1660,-1040,-571,-316,180,132,-112
0,2023-03-09T13:52:05.092012,2024453,289,-11,1660,-1040,-571,-316,180,132,-112
0,2023-03-09T13:52:05.096498,2024458,286,-10,1659,-1042,-568,-320,180,132,-112
