,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
10715,1667,0,2023-03-01T18:55:59.803906,1949340,1230,1946,-347,-1054,-566,-329,-27,113,-281
10716,1668,0,2023-03-01T18:55:59.809847,1949346,1230,1946,-347,-1054,-566,-329,-27,113,-281
10717,1669,0,2023-03-01T18:55:59.814999,1949351,1225,1943,-345,-1040,-576,-318,-27,113,-281
10718,1670,0,2023-03-01T18:55:59.820914,1949358,1225,1943,-345,-1040,-576,-318,-23,111,-273
10719,1671,0,2023-03-01T18:55:59.826787,1949363,1225,1943,-345,-1040,-576,-318,-23,111,-273
10720,1672,0,2023-03-01T18:55:59.831784,1949368,1225,1943,-345,-1040,-576,-318,-23,111,-273
10721,1673,0,2023-03-01T18:55:59.837006,1949373,1227,1944,-351,-1029,-578,-317,-23,111,-273
10722,1674,0,2023-03-01T18:55:59.843043,1949379,1227,1944,-351,-1029,-578,-317,-23,111,-273
10723,1675,0,2023-03-01T18:55:59.848874,1949385,1227,1944,-351,-1029,-578,-317,-23,111,-273
10724,1676,0,2023-03-01T18:55:59.854851,1949390,1233,1942,-352,-1024,-581,-306,-23,111,-273
10725,1677,0,2023-03-01T18:55:59.860779,1949396,1233,1942,-352,-1024,-581,-306,-23,111,-273
10726,1678,0,2023-03-01T18:55:59.866975,1949403,1233,1942,-352,-1024,-581,-306,-23,111,-273
10727,1679,0,2023-03-01T18:55:59.873053,1949409,1233,1942,-352,-1024,-581,-306,-23,111,-273
10728,1680,0,2023-03-01T18:55:59.878211,1949415,1234,1938,-358,-1034,-586,-313,-23,111,-273
10729,1681,0,2023-03-01T18:55:59.883098,1949419,1234,1938,-358,-1034,-586,-313,-23,111,-273
10730,1682,0,2023-03-01T18:55:59.887830,1949424,1234,1938,-358,-1034,-586,-313,-23,111,-273
10731,1683,0,2023-03-01T18:55:59.893307,1949429,1234,1938,-358,-1034,-586,-313,-23,111,-273
10732,1684,0,2023-03-01T18:55:59.898599,1949434,1231,1940,-358,-1045,-577,-319,-23,111,-273
10733,1685,0,2023-03-01T18:55:59.904122,1949441,1231,1940,-358,-1045,-577,-319,-23,111,-273
10734,1686,0,2023-03-01T18:55:59.909818,1949446,1231,1940,-358,-1045,-577,-319,-23,111,-273
10735,1687,0,2023-03-01T18:55:59.915018,1949452,1230,1938,-352,-1053,-566,-335,-23,111,-273
10736,1688,0,2023-03-01T18:55:59.921273,1949457,1230,1938,-352,-1053,-566,-335,-23,111,-273
10737,1689,0,2023-03-01T18:55:59.927850,1949464,1230,1938,-352,-1053,-566,-335,-23,111,-273
10738,1690,0,2023-03-01T18:55:59.934259,1949470,1230,1938,-352,-1053,-566,-335,-23,111,-273
10739,1691,0,2023-03-01T18:55:59.939050,1949475,1226,1946,-349,-1050,-564,-330,-23,111,-273
10740,1692,0,2023-03-01T18:55:59.944966,1949480,1226,1946,-349,-1050,-564,-330,-23,111,-273
10741,1693,0,2023-03-01T18:55:59.950009,1949486,1226,1946,-349,-1050,-564,-330,-23,111,-273
10742,1694,0,2023-03-01T18:55:59.955877,1949492,1226,1947,-347,-1033,-570,-328,-31,109,-277
10743,1695,0,2023-03-01T18:55:59.961637,1949498,1226,1947,-347,-1033,-570,-328,-31,109,-277
10744,1696,0,2023-03-01T18:55:59.967181,1949503,1226,1947,-347,-1033,-570,-328,-31,109,-277
10745,1697,0,2023-03-01T18:55:59.972251,1949508,1226,1947,-347,-1033,-570,-328,-31,109,-277
10746,1698,0,2023-03-01T18:55:59.977473,1949513,1226,1947,-347,-1033,-570,-328,-31,109,-277
10747,1699,0,2023-03-01T18:55:59.982374,1949518,1226,1947,-347,-1033,-570,-328,-31,109,-277
10748,1700,0,2023-03-01T18:55:59.988146,1949524,1226,1947,-347,-1033,-570,-328,-31,109,-277
10749,1701,0,2023-03-01T18:55:59.994110,1949530,1226,1947,-347,-1033,-570,-328,-31,109,-277
10750,1702,0,2023-03-01T18:55:59.999025,1949536,1228,1941,-359,-1025,-577,-316,-31,109,-277
10751,1703,0,2023-03-01T18:56:00.004867,1949541,1228,1941,-359,-1025,-577,-316,-31,109,-277
10752,1704,0,2023-03-01T18:56:00.010869,1949547,1228,1941,-359,-1025,-577,-316,-31,109,-277
10753,1705,0,2023-03-01T18:56:00.016032,1949552,1230,1940,-362,-1034,-573,-318,-31,109,-277
10754,1706,0,2023-03-01T18:56:00.021718,1949557,1230,1940,-362,-1034,-573,-318,-31,109,-277
10755,1707,0,2023-03-01T18:56:00.027234,1949563,1230,1940,-362,-1034,-573,-318,-31,109,-277
10756,1708,0,2023-03-01T18:56:00.033822,1949570,1230,1940,-362,-1034,-573,-318,-31,109,-277
10757,1709,0,2023-03-01T18:56:00.039838,1949576,1234,1939,-359,-1048,-571,-321,-31,109,-277
10758,1710,0,2023-03-01T18:56:00.045774,1949582,1234,1939,-359,-1048,-571,-321,-31,109,-277
10759,1711,0,2023-03-01T18:56:00.050693,1949587,1234,1939,-359,-1048,-571,-321,-31,109,-277
10760,1712,0,2023-03-01T18:56:00.055327,1949592,1233,1941,-353,-1047,-565,-334,-31,109,-277
10761,1713,0,2023-03-01T18:56:00.060900,1949597,1233,1941,-353,-1047,-565,-334,-31,109,-277
10762,1714,0,2023-03-01T18:56:00.067081,1949603,1233,1941,-353,-1047,-565,-334,-31,109,-277
10763,1715,0,2023-03-01T18:56:00.072996,1949609,1233,1941,-353,-1047,-565,-334,-31,109,-277
10764,1716,0,2023-03-01T18:56:00.078250,1949615,1229,1945,-350,-1040,-570,-337,-23,115,-279
10765,1717,0,2023-03-01T18:56:00.083730,1949620,1229,1945,-350,-1040,-570,-337,-23,115,-279
10766,1718,0,2023-03-01T18:56:00.089505,1949626,1229,1945,-350,-1040,-570,-337,-23,115,-279
10767,1719,0,2023-03-01T18:56:00.094337,1949631,1229,1945,-350,-1040,-570,-337,-23,115,-279
10768,1720,0,2023-03-01T18:56:00.099164,1949635,1226,1945,-345,-1039,-573,-326,-23,115,-279
10769,1721,0,2023-03-01T18:56:00.104490,1949641,1226,1945,-345,-1039,-573,-326,-23,115,-279
10770,1722,0,2023-03-01T18:56:00.110118,1949646,1226,1945,-345,-1039,-573,-326,-23,115,-279
10771,1723,0,2023-03-01T18:56:00.116119,1949651,1229,1948,-354,-1037,-578,-319,-23,115,-279
10772,1724,0,2023-03-01T18:56:00.122593,1949659,1229,1948,-354,-1037,-578,-319,-23,115,-279
10773,1725,0,2023-03-01T18:56:00.128806,1949665,1229,1948,-354,-1037,-578,-319,-23,115,-279
10774,1726,0,2023-03-01T18:56:00.135098,1949671,1229,1948,-354,-1037,-578,-319,-23,115,-279
10775,1727,0,2023-03-01T18:56:00.140209,1949676,1233,1940,-355,-1030,-576,-314,-23,115,-279
10776,1728,0,2023-03-01T18:56:00.146839,1949682,1233,1940,-355,-1030,-576,-314,-23,115,-279
10777,1729,0,2023-03-01T18:56:00.153250,1949689,1233,1940,-355,-1030,-576,-314,-23,115,-279
10778,1730,0,2023-03-01T18:56:00.158408,1949694,1234,1940,-367,-1029,-572,-311,-23,115,-279
10779,1731,0,2023-03-01T18:56:00.163881,1949701,1234,1940,-367,-1029,-572,-311,-23,115,-279
10780,1732,0,2023-03-01T18:56:00.169365,1949706,1234,1940,-367,-1029,-572,-311,-23,115,-279
10781,1733,0,2023-03-01T18:56:00.174547,1949711,1234,1940,-367,-1029,-572,-311,-23,115,-279
10782,1734,0,2023-03-01T18:56:00.179726,1949716,1232,1941,-357,-1038,-577,-316,-23,115,-279
10783,1735,0,2023-03-01T18:56:00.185575,1949722,1232,1941,-357,-1038,-577,-316,-23,115,-279
10784,1736,0,2023-03-01T18:56:00.190441,1949726,1232,1941,-357,-1038,-577,-316,-23,115,-279
10785,1737,0,2023-03-01T18:56:00.196095,1949731,1234,1947,-352,-1043,-573,-327,-23,115,-279
10786,1738,0,2023-03-01T18:56:00.201336,1949737,1234,1947,-352,-1043,-573,-327,-23,115,-279
10787,1739,0,2023-03-01T18:56:00.207216,1949743,1234,1947,-352,-1043,-573,-327,-23,115,-279
10788,1740,0,2023-03-01T18:56:00.211991,1949749,1234,1947,-352,-1043,-573,-327,-23,115,-279
10789,1741,0,2023-03-01T18:56:00.216735,1949753,1229,1942,-349,-1051,-572,-332,-31,103,-277
10790,1742,0,2023-03-01T18:56:00.222388,1949758,1229,1942,-349,-1051,-572,-332,-31,103,-277
10791,1743,0,2023-03-01T18:56:00.228416,1949764,1229,1942,-349,-1051,-572,-332,-31,103,-277
10792,1744,0,2023-03-01T18:56:00.234277,1949770,1229,1942,-349,-1051,-572,-332,-31,103,-277
10793,1745,0,2023-03-01T18:56:00.239436,1949775,1225,1944,-355,-1041,-577,-326,-31,103,-277
10794,1746,0,2023-03-01T18:56:00.245327,1949782,1225,1944,-355,-1041,-577,-326,-31,103,-277
10795,1747,0,2023-03-01T18:56:00.250055,1949787,1225,1944,-355,-1041,-577,-326,-31,103,-277
10796,1748,0,2023-03-01T18:56:00.255246,1949791,1225,1944,-355,-1041,-577,-326,-31,103,-277
10797,1749,0,2023-03-01T18:56:00.261390,1949797,1229,1941,-347,-1024,-569,-324,-31,103,-277
