,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
23800,4694,0,2023-03-01T18:51:58.358864,1707882,1419,1810,-570,-1186,-789,-301,-60,154,-260
23801,4695,0,2023-03-01T18:51:58.364234,1707887,1419,1810,-570,-1186,-789,-301,-60,154,-260
23802,4696,0,2023-03-01T18:51:58.369085,1707892,1419,1810,-570,-1186,-789,-301,-60,154,-260
23803,4697,0,2023-03-01T18:51:58.374528,1707897,1419,1810,-570,-1186,-789,-301,-60,154,-260
23804,4698,0,2023-03-01T18:51:58.379501,1707902,1414,1808,-561,-1185,-788,-299,-60,154,-260
23805,4699,0,2023-03-01T18:51:58.385028,1707908,1414,1808,-561,-1185,-788,-299,-60,154,-260
23806,4700,0,2023-03-01T18:51:58.389747,1707913,1414,1808,-561,-1185,-788,-299,-60,154,-260
23807,4701,0,2023-03-01T18:51:58.395326,1707918,1416,1809,-562,-1183,-782,-300,-60,154,-260
23808,4702,0,2023-03-01T18:51:58.401403,1707924,1416,1809,-562,-1183,-782,-300,-60,154,-260
23809,4703,0,2023-03-01T18:51:58.406103,1707929,1416,1809,-562,-1183,-782,-300,-60,154,-260
23810,4704,0,2023-03-01T18:51:58.411475,1707934,1416,1809,-562,-1183,-782,-300,-60,154,-260
23811,4705,0,2023-03-01T18:51:58.417097,1707939,1420,1811,-576,-1182,-787,-300,-60,154,-260
23812,4706,0,2023-03-01T18:51:58.423112,1707947,1420,1811,-576,-1182,-787,-300,-60,154,-260
23813,4707,0,2023-03-01T18:51:58.428397,1707951,1420,1811,-576,-1182,-787,-300,-60,154,-260
23814,4708,0,2023-03-01T18:51:58.433696,1707957,1420,1811,-576,-1182,-787,-300,-60,154,-260
23815,4709,0,2023-03-01T18:51:58.438434,1707962,1417,1804,-572,-1179,-777,-299,-60,154,-260
23816,4710,0,2023-03-01T18:51:58.443728,1707967,1417,1804,-572,-1179,-777,-299,-60,154,-260
23817,4711,0,2023-03-01T18:51:58.448505,1707971,1417,1804,-572,-1179,-777,-299,-60,154,-260
23818,4712,0,2023-03-01T18:51:58.454273,1707977,1417,1804,-572,-1179,-777,-299,-60,154,-260
23819,4713,0,2023-03-01T18:51:58.459727,1707982,1419,1809,-566,-1179,-771,-302,-62,146,-252
23820,4714,0,2023-03-01T18:51:58.465363,1707988,1419,1809,-566,-1179,-771,-302,-62,146,-252
23821,4715,0,2023-03-01T18:51:58.470242,1707993,1419,1809,-566,-1179,-771,-302,-62,146,-252
23822,4716,0,2023-03-01T18:51:58.475550,1707999,1417,1807,-568,-1174,-773,-301,-62,146,-252
23823,4717,0,2023-03-01T18:51:58.481589,1708005,1417,1807,-568,-1174,-773,-301,-62,146,-252
23824,4718,0,2023-03-01T18:51:58.486545,1708010,1417,1807,-568,-1174,-773,-301,-62,146,-252
