,Unnamed: 0.1,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz,new_ax,new_ay,new_az
0,2863,6111,0,2023-04-06T20:09:38.368065,3989027,2135,783,-621,-1062,-564,-471,184,0,-368,2134.7299276327767,783.8116317144288,-623.1700774110097
1,2864,6112,0,2023-04-06T20:09:38.372747,3989031,2135,783,-621,-1062,-564,-471,184,0,-368,2134.7176490587126,783.9177561342517,-623.4317012481524
2,2865,6113,0,2023-04-06T20:09:38.377222,3989037,2135,783,-621,-1062,-564,-471,184,0,-368,2134.702850635118,784.0671074673121,-623.792785986752
3,2866,6114,0,2023-04-06T20:09:38.381781,3989041,2135,783,-621,-1062,-564,-471,184,0,-368,2134.686628537699,784.2610739692391,-624.2524973884223
4,2867,6115,0,2023-04-06T20:09:38.386831,3989046,2135,783,-621,-1062,-564,-471,184,0,-368,2134.670478591477,784.4963333328126,-624.797587674146
5,2868,6116,0,2023-04-06T20:09:38.391356,3989050,2134,786,-628,-1062,-565,-471,184,0,-368,2134.655813624146,784.7651121124907,-625.4033555153584
6,2869,6117,0,2023-04-06T20:09:38.396317,3989055,2134,786,-628,-1062,-565,-471,184,0,-368,2134.643274755304,785.0564181786458,-626.0371811048271
7,2870,6118,0,2023-04-06T20:09:38.400904,3989060,2134,786,-628,-1062,-565,-471,184,0,-368,2134.632058040229,785.357767847428,-626.6635114114821
8,2871,6119,0,2023-04-06T20:09:38.406427,3989065,2134,786,-628,-1062,-565,-471,184,0,-368,2134.619557737232,785.6567240571894,-627.2486737795393
9,2872,6120,0,2023-04-06T20:09:38.410756,3989069,2135,786,-629,-1057,-561,-476,184,0,-368,2134.6015338624647,785.9418203516461,-627.7644588607714
10,2873,6121,0,2023-04-06T20:09:38.416001,3989074,2135,786,-629,-1057,-561,-476,184,0,-368,2134.5727907568917,786.202881727935,-628.1903230965477
11,2874,6122,0,2023-04-06T20:09:38.420513,3989080,2135,786,-629,-1057,-561,-476,184,0,-368,2134.5281299427315,786.4309884061124,-628.514433696789
12,2875,6123,0,2023-04-06T20:09:38.425330,3989085,2135,786,-629,-1057,-561,-476,184,0,-368,2134.463239575737,786.6183628436322,-628.7337461313942
13,2876,6124,0,2023-04-06T20:09:38.429787,3989089,2134,787,-629,-1061,-565,-474,170,-4,-370,2134.3752666737446,786.7584211854503,-628.853298649307
14,2877,6125,0,2023-04-06T20:09:38.434953,3989094,2134,787,-629,-1061,-565,-474,170,-4,-370,2134.263023840582,786.8461190102735,-628.8849541241098
15,2878,6126,0,2023-04-06T20:09:38.439573,3989098,2134,787,-629,-1061,-565,-474,170,-4,-370,2134.126983811202,786.8785389636322,-628.845798596408
16,2879,6127,0,2023-04-06T20:09:38.444352,3989103,2134,787,-629,-1061,-565,-474,170,-4,-370,2133.9692877630246,786.8555423442656,-628.7563259857934
17,2880,6128,0,2023-04-06T20:09:38.448727,3989107,2134,787,-629,-1061,-565,-474,170,-4,-370,2133.793891146687,786.7803343647446,-628.6384535577429
18,2881,6129,0,2023-04-06T20:09:38.453101,3989112,2134,787,-627,-1061,-570,-457,170,-4,-370,2133.6068059595414,786.659881124918,-628.5133753115138
19,2882,6130,0,2023-04-06T20:09:38.458264,3989117,2134,787,-627,-1061,-570,-457,170,-4,-370,2133.4162989668202,786.5051417854479,-628.3993685298008
20,2883,6131,0,2023-04-06T20:09:38.462976,3989122,2134,787,-627,-1061,-570,-457,170,-4,-370,2133.232873255655,786.3310452792955,-628.3099236353323
21,2884,6132,0,2023-04-06T20:09:38.468642,3989128,2134,787,-627,-1061,-570,-457,170,-4,-370,2133.0688503653696,786.1560981638536,-628.2527159340548
22,2885,6133,0,2023-04-06T20:09:38.473139,3989132,2132,786,-629,-1056,-563,-472,170,-4,-370,2132.9373999719205,786.0014943008019,-628.2297561063147
23,2886,6134,0,2023-04-06T20:09:38.478307,3989137,2132,786,-629,-1056,-563,-472,170,-4,-370,2132.8510303956186,785.8896590420493,-628.238634921892
24,2887,6135,0,2023-04-06T20:09:38.482785,3989142,2132,786,-629,-1056,-563,-472,170,-4,-370,2132.8198574994467,785.8423037471093,-628.2743641217652
25,2888,6136,0,2023-04-06T20:09:38.487949,3989147,2132,786,-629,-1056,-563,-472,170,-4,-370,2132.8501597745862,785.8781667827866,-628.3311573385103
