,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
8087,8087,2023-03-01T18:57:39.894019,5777,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8088,8088,2023-03-01T18:57:39.919020,5778,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8089,8089,2023-03-01T18:57:39.950022,5779,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8090,8090,2023-03-01T18:57:39.950022,5779,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8091,8091,2023-03-01T18:57:39.973025,5780,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8092,8092,2023-03-01T18:57:40.006026,5781,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8093,8093,2023-03-01T18:57:40.006026,5781,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8094,8094,2023-03-01T18:57:40.029021,5782,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8095,8095,2023-03-01T18:57:40.061019,5783,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8096,8096,2023-03-01T18:57:40.085030,5784,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
8097,8097,2023-03-01T18:57:40.085030,5784,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01009961,-0.171876,-0.02517129)","(0,0,0)","(0,0,0,-1)","(0.09090763,0.003195074,-0.003387797)",False
