,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
4462,4462,2023-03-01T18:51:17.710099,3191,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.00145767,-0.03697105,0.001789442)","(-0.06627099,1.253773,0.1803679)","(-0.06800902,0.1289644,0.6528369,-0.7433351)","(-0.0007269626,-0.0003932141,0.001400375)",True
4463,4463,2023-03-01T18:51:17.710099,3191,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.00145767,-0.03697105,0.001789442)","(-0.06627099,1.253773,0.1803679)","(-0.06800902,0.1289644,0.6528369,-0.7433351)","(-0.0007269626,-0.0003932141,0.001400375)",True
4464,4464,2023-03-01T18:51:17.741109,3192,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0008610375,-0.0367061,0.001337933)","(-0.06620012,1.253755,0.1803531)","(-0.06761545,0.1286255,0.652864,-0.7434058)","(-0.0002442865,-0.000581082,0.001037869)",True
4465,4465,2023-03-01T18:51:17.742101,3192,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0008610375,-0.0367061,0.001337933)","(-0.06620012,1.253755,0.1803531)","(-0.06761545,0.1286255,0.652864,-0.7434058)","(-0.0002442865,-0.000581082,0.001037869)",True
4466,4466,2023-03-01T18:51:17.775098,3193,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0008596764,-0.03670962,0.001342305)","(-0.06620783,1.253773,0.180392)","(-0.06726632,0.1282878,0.6529124,-0.7434534)","(-0.0007669488,-0.000420774,0.001278027)",True
4467,4467,2023-03-01T18:51:17.797108,3194,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003599878,-0.03409189,0.001960281)","(-0.06719534,1.253623,0.1813818)","(-0.06697496,0.12802,0.6529376,-0.7435037)","(-0.003974071,-0.0008582934,0.004858101)",True
4468,4468,2023-03-01T18:51:17.798099,3194,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003599878,-0.03409189,0.001960281)","(-0.06719534,1.253623,0.1813818)","(-0.06697496,0.12802,0.6529376,-0.7435037)","(-0.003974071,-0.0008582934,0.004858101)",True
4469,4469,2023-03-01T18:51:17.819098,3195,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001295269,-0.03783802,0.0004401557)","(-0.06629263,1.253795,0.1805696)","(-0.06658882,0.1275709,0.6529693,-0.7435878)","(-0.0006385481,8.810808E-05,0.001911817)",True
4470,4470,2023-03-01T18:51:17.853098,3196,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.005201665,-0.03611232,0.001442628)","(-0.06623158,1.253839,0.1806772)","(-0.06621266,0.1272966,0.6530032,-0.7436385)","(-8.541363E-06,0.0007613309,0.002518657)",True
4471,4471,2023-03-01T18:51:17.875104,3197,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0005795198,-0.03606194,-0.002122036)","(-0.06619104,1.253883,0.1806961)","(-0.06594919,0.1268737,0.6529731,-0.7437606)","(0.0003694238,0.000885883,0.002300904)",True
